SL no,S/C No.,Name,Address,Phase,Meter Number ,Service Connection number
1,4030,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-101,casa Grande Homes Pvt. Ltd.,kanathur Reddy Kuppam",3,6912021,95790074030
2,4031,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912022,95790074031
3,4032,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-201,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912023,95790074032
4,4033,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912024,95790074033
5,4034,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912025,95790074034
6,4035,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912026,95790074035
7,4036,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-401,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912027,95790074036
8,4037,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-402,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912028,95790074037
9,4038,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-501,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912029,95790074038
10,4039,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-502,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912030,95790074039
11,4040,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-601,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912761,95790074040
12,4041,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-602,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912762,95790074041
13,4042,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-701,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912763,95790074042
14,4043,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-702,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912764,95790074043
15,4044,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-801,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912765,95790074044
16,4045,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-802,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912766,95790074045
17,4046,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-901,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912767,95790074046
18,4047,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-902,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912768,95790074047
19,4048,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-1001,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912769,95790074048
20,4049,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,ca-1002,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Ku",3,6912770,95790074049
21,4050,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-1101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913401,95790074050
22,4051,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-1102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913402,95790074051
23,4052,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-1201,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913403,95790074052
24,4053,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-1202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913404,95790074053
25,4054,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-1301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913405,95790074054
26,4055,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,a-1302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913406,95790074055
27,4056,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913407,95790074056
28,4057,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913408,95790074057
29,4058,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913409,95790074058
30,4059,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913410,95790074059
31,4060,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-103,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913681,95790074060
32,4061,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913682,95790074061
33,4062,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-201,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913683,95790074062
34,4063,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913684,95790074063
35,4064,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-203,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913685,95790074064
36,4065,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913686,95790074065
37,4066,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913687,95790074066
38,4067,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913688,95790074067
39,4068,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,cb-303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913689,95790074068
40,4069,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913690,95790074069
41,4070,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-401,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913541,95790074070
42,4071,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-402,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913542,95790074071
43,4072,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-403,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913543,95790074072
44,4073,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-404,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913544,95790074073
45,4074,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-501,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913545,95790074074
46,4075,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-502,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913546,95790074075
47,4076,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-503,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913547,95790074076
48,4077,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-504,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913548,95790074077
49,4078,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-601,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913549,95790074078
50,4079,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-602,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913550,95790074079
51,4080,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-603,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912221,95790074080
52,4081,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-604,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912222,95790074081
